datestamp,index_code,index_name,convexity,return,modified_duration,yield
2005-03-16,SAGB Index,SA Govt Bond Index,44.8,-0.058901898,5.12,9.7
2005-03-17,SAGB Index,SA Govt Bond Index,44.5,-0.346135674,5.1,9.74
2005-03-18,SAGB Index,SA Govt Bond Index,44.5,0.097630121,5.1,9.73
2005-03-22,SAGB Index,SA Govt Bond Index,44.1,-0.316988428,5.08,9.77
2005-03-23,SAGB Index,SA Govt Bond Index,43.6,-0.725840963,5.05,9.85
2005-03-24,SAGB Index,SA Govt Bond Index,43.9,0.241188798,5.06,9.82
2005-03-29,SAGB Index,SA Govt Bond Index,43.2,-0.686845013,5.02,9.91
2005-03-30,SAGB Index,SA Govt Bond Index,43,-0.012375413,5.01,9.91
2005-03-31,SAGB Index,SA Govt Bond Index,43.4,0.585524691,5.03,9.85
2005-04-01,SAGB Index,SA Govt Bond Index,43.2,-0.053952239,5.02,9.86
2005-04-04,SAGB Index,SA Govt Bond Index,42.7,-0.613682872,4.99,9.93
2005-04-05,SAGB Index,SA Govt Bond Index,42.5,-0.255850749,4.98,9.96
2005-04-06,SAGB Index,SA Govt Bond Index,42.8,0.53307605,4.99,9.91
2005-04-07,SAGB Index,SA Govt Bond Index,42.9,0.278428453,5,9.88
2005-04-08,SAGB Index,SA Govt Bond Index,42.8,-0.192368741,4.99,9.91
2005-04-11,SAGB Index,SA Govt Bond Index,43,0.473778409,5,9.87
2005-04-12,SAGB Index,SA Govt Bond Index,42.8,-0.111507473,4.99,9.88
2005-04-13,SAGB Index,SA Govt Bond Index,43,0.311245024,5,9.85
2005-04-14,SAGB Index,SA Govt Bond Index,43.1,0.75259232,5.01,9.78
2005-04-15,SAGB Index,SA Govt Bond Index,43.8,0.975835789,5.04,9.69
2005-04-18,SAGB Index,SA Govt Bond Index,44.1,0.698036611,5.06,9.63
2005-04-19,SAGB Index,SA Govt Bond Index,44.1,0.024855699,5.06,9.63
2005-04-20,SAGB Index,SA Govt Bond Index,44.1,0.042336225,5.06,9.63
2005-04-21,SAGB Index,SA Govt Bond Index,43.7,-0.377184921,5.03,9.67
2005-04-22,SAGB Index,SA Govt Bond Index,43.6,-0.146827963,5.03,9.68
2005-04-25,SAGB Index,SA Govt Bond Index,43.1,-0.637652485,4.99,9.75
2005-04-26,SAGB Index,SA Govt Bond Index,43.1,0.141937705,4.99,9.74
2005-04-28,SAGB Index,SA Govt Bond Index,43,0.012082459,4.99,9.75
2005-04-29,SAGB Index,SA Govt Bond Index,43.1,0.184467551,4.99,9.73
2005-05-03,SAGB Index,SA Govt Bond Index,42.8,-0.157227602,4.97,9.76
2005-05-04,SAGB Index,SA Govt Bond Index,43.2,0.609461498,4.99,9.7
2005-05-05,SAGB Index,SA Govt Bond Index,44.5,0.386455143,5.07,9.62
2005-05-06,SAGB Index,SA Govt Bond Index,44.3,-0.229508639,5.06,9.65
2005-05-09,SAGB Index,SA Govt Bond Index,43.8,-0.526917487,5.03,9.71
2005-05-10,SAGB Index,SA Govt Bond Index,43.7,-0.11122491,5.02,9.72
2005-05-11,SAGB Index,SA Govt Bond Index,43.4,-0.380441593,5,9.76
2005-05-12,SAGB Index,SA Govt Bond Index,43.3,-0.148566265,5,9.78
2005-05-13,SAGB Index,SA Govt Bond Index,43.4,0.271455222,5,9.75
2005-05-16,SAGB Index,SA Govt Bond Index,43.3,-0.029304781,4.99,9.77
2005-05-17,SAGB Index,SA Govt Bond Index,43,-0.338732265,4.98,9.8
2005-05-18,SAGB Index,SA Govt Bond Index,43.3,0.492551038,4.99,9.76
2005-05-19,SAGB Index,SA Govt Bond Index,43.5,0.264348695,5,9.73
2005-05-20,SAGB Index,SA Govt Bond Index,43.3,-0.140861387,4.99,9.75
2005-05-23,SAGB Index,SA Govt Bond Index,43.1,-0.251959296,4.97,9.78
2005-05-24,SAGB Index,SA Govt Bond Index,43.1,0.074429682,4.97,9.78
2005-05-25,SAGB Index,SA Govt Bond Index,43.3,0.356067088,4.98,9.74
2005-05-26,SAGB Index,SA Govt Bond Index,43.1,-0.168601261,4.97,9.76
2005-05-27,SAGB Index,SA Govt Bond Index,43.3,0.398552418,4.99,9.73
2005-05-30,SAGB Index,SA Govt Bond Index,43,-0.169139843,4.97,9.75
2005-05-31,SAGB Index,SA Govt Bond Index,42.8,-0.287006469,4.95,9.78
2005-06-01,SAGB Index,SA Govt Bond Index,42.8,0.143916288,4.95,9.77
2005-06-02,SAGB Index,SA Govt Bond Index,43.1,0.665235752,4.97,9.71
2005-06-03,SAGB Index,SA Govt Bond Index,43.8,1.196879521,5.02,9.59
2005-06-06,SAGB Index,SA Govt Bond Index,43.4,-0.402280785,4.99,9.64
2005-06-07,SAGB Index,SA Govt Bond Index,44.1,0.79913009,5.02,9.56
2005-06-08,SAGB Index,SA Govt Bond Index,44,-0.051221147,5.02,9.57
2005-06-09,SAGB Index,SA Govt Bond Index,43.7,-0.379140046,5,9.61
2005-06-10,SAGB Index,SA Govt Bond Index,43.9,0.311841327,5.01,9.58
2005-06-13,SAGB Index,SA Govt Bond Index,43.4,-0.496487369,4.98,9.64
2005-06-14,SAGB Index,SA Govt Bond Index,43.3,-0.066133344,4.97,9.65
2005-06-15,SAGB Index,SA Govt Bond Index,43.6,0.102688617,5.01,9.64
2005-06-17,SAGB Index,SA Govt Bond Index,43.9,0.579025578,5.02,9.59
2005-06-20,SAGB Index,SA Govt Bond Index,43.5,-0.37623977,5,9.63
2005-06-21,SAGB Index,SA Govt Bond Index,43.4,-0.055511569,4.99,9.64
2005-06-22,SAGB Index,SA Govt Bond Index,43.7,0.444794493,5.01,9.6
2005-06-23,SAGB Index,SA Govt Bond Index,43.8,0.270136748,5.01,9.58
2005-06-24,SAGB Index,SA Govt Bond Index,43.9,0.125663914,5.02,9.57
2005-06-27,SAGB Index,SA Govt Bond Index,43.9,0.17968154,5.02,9.56
2005-06-28,SAGB Index,SA Govt Bond Index,43.7,-0.264081731,5,9.58
2005-06-29,SAGB Index,SA Govt Bond Index,43.7,0.055125047,5,9.58
2005-06-30,SAGB Index,SA Govt Bond Index,43.5,-0.112898927,4.99,9.6
2005-07-01,SAGB Index,SA Govt Bond Index,43.3,-0.264029973,4.98,9.62
2005-07-04,SAGB Index,SA Govt Bond Index,43.1,-0.153216414,4.96,9.65
2005-07-05,SAGB Index,SA Govt Bond Index,43,-0.108051661,4.95,9.66
2005-07-06,SAGB Index,SA Govt Bond Index,43,0.110895478,4.95,9.65
2005-07-07,SAGB Index,SA Govt Bond Index,43,0.039950787,4.95,9.65
2005-07-08,SAGB Index,SA Govt Bond Index,42.9,-0.026774491,4.95,9.66
2005-07-11,SAGB Index,SA Govt Bond Index,42.8,-0.030413076,4.94,9.67
2005-07-12,SAGB Index,SA Govt Bond Index,43,0.392765831,4.95,9.63
2005-07-13,SAGB Index,SA Govt Bond Index,42.6,-0.521940505,4.92,9.68
2005-07-14,SAGB Index,SA Govt Bond Index,42.7,0.105936057,4.93,9.68
2005-07-15,SAGB Index,SA Govt Bond Index,42.8,0.200747582,4.93,9.66
2005-07-18,SAGB Index,SA Govt Bond Index,42.6,-0.024929858,4.92,9.67
2005-07-19,SAGB Index,SA Govt Bond Index,42.5,-0.216263765,4.91,9.69
2005-07-20,SAGB Index,SA Govt Bond Index,42.5,0.013630973,4.91,9.69
2005-07-21,SAGB Index,SA Govt Bond Index,42.7,0.393427117,4.92,9.66
2005-07-22,SAGB Index,SA Govt Bond Index,42.7,0.057923008,4.92,9.65
2005-07-25,SAGB Index,SA Govt Bond Index,42.7,0.189497586,4.92,9.64
2005-07-26,SAGB Index,SA Govt Bond Index,42.6,-0.048300455,4.91,9.65
2005-07-27,SAGB Index,SA Govt Bond Index,42.9,0.55730436,4.93,9.6
2005-07-28,SAGB Index,SA Govt Bond Index,43.1,0.274413102,4.94,9.57
2005-07-29,SAGB Index,SA Govt Bond Index,43,0.021050934,4.93,9.57
2005-08-01,SAGB Index,SA Govt Bond Index,43.2,0.447797957,4.94,9.54
2005-08-02,SAGB Index,SA Govt Bond Index,43.2,0.016494661,4.94,9.54
2005-08-03,SAGB Index,SA Govt Bond Index,43.3,0.27590571,4.94,9.51
2005-08-04,SAGB Index,SA Govt Bond Index,44.1,0.32581978,5.01,9.43
2005-08-05,SAGB Index,SA Govt Bond Index,44,-0.186527485,5,9.45
2005-08-08,SAGB Index,SA Govt Bond Index,43.8,-0.075016754,4.99,9.47
2005-08-10,SAGB Index,SA Govt Bond Index,43.5,-0.260312544,4.97,9.5
2005-08-11,SAGB Index,SA Govt Bond Index,43.5,-0.08952113,4.97,9.51
2005-08-12,SAGB Index,SA Govt Bond Index,43.6,0.24740668,4.98,9.49
2005-08-15,SAGB Index,SA Govt Bond Index,43.4,-0.279257571,4.96,9.52
2005-08-16,SAGB Index,SA Govt Bond Index,43.3,0.026755375,4.96,9.52
2005-08-17,SAGB Index,SA Govt Bond Index,43.4,0.125270826,4.96,9.51
2005-08-18,SAGB Index,SA Govt Bond Index,43.2,-0.224849163,4.94,9.54
2005-08-19,SAGB Index,SA Govt Bond Index,43.2,0.082109869,4.94,9.53
2005-08-22,SAGB Index,SA Govt Bond Index,43.2,0.160072055,4.94,9.52
2005-08-23,SAGB Index,SA Govt Bond Index,43.2,0.13399634,4.94,9.51
2005-08-24,SAGB Index,SA Govt Bond Index,43,-0.291641103,4.93,9.54
2005-08-25,SAGB Index,SA Govt Bond Index,42.4,-0.687985448,4.89,9.62
2005-08-26,SAGB Index,SA Govt Bond Index,43.5,0.180034572,5.01,9.6
2005-08-29,SAGB Index,SA Govt Bond Index,43.1,-0.396170925,4.98,9.65
2005-08-30,SAGB Index,SA Govt Bond Index,43.1,-0.031495778,4.98,9.65
2005-08-31,SAGB Index,SA Govt Bond Index,43.4,0.567552727,5,9.6
2005-09-01,SAGB Index,SA Govt Bond Index,43.7,0.487372605,5.01,9.55
2005-09-02,SAGB Index,SA Govt Bond Index,43.8,0.263659516,5.02,9.53
2005-09-05,SAGB Index,SA Govt Bond Index,43.7,-0.033314972,5.01,9.54
2005-09-06,SAGB Index,SA Govt Bond Index,43.3,-0.444792025,4.99,9.59
2005-09-07,SAGB Index,SA Govt Bond Index,43.2,-0.224951794,4.98,9.61
2005-09-08,SAGB Index,SA Govt Bond Index,43.1,-0.125254982,4.97,9.63
2005-09-09,SAGB Index,SA Govt Bond Index,43.1,0.174233189,4.97,9.61
2005-09-12,SAGB Index,SA Govt Bond Index,43.2,-0.349648778,5,9.65
2005-09-13,SAGB Index,SA Govt Bond Index,43.2,0.084802421,5,9.65
2005-09-14,SAGB Index,SA Govt Bond Index,43.2,0.067694788,5,9.64
2005-09-15,SAGB Index,SA Govt Bond Index,43,-0.300612417,4.98,9.68
2005-09-16,SAGB Index,SA Govt Bond Index,43,0.000449357,4.98,9.68
2005-09-19,SAGB Index,SA Govt Bond Index,42.9,0.040441986,4.98,9.68
2005-09-20,SAGB Index,SA Govt Bond Index,43.1,0.298251375,4.98,9.66
2005-09-21,SAGB Index,SA Govt Bond Index,43.2,0.232427963,4.99,9.64
2005-09-22,SAGB Index,SA Govt Bond Index,43.2,0.1099127,4.99,9.63
2005-09-23,SAGB Index,SA Govt Bond Index,43.1,-0.138802105,4.98,9.64
2005-09-26,SAGB Index,SA Govt Bond Index,42.9,-0.125587148,4.97,9.66
2005-09-27,SAGB Index,SA Govt Bond Index,42.9,-0.018347146,4.97,9.67
2005-09-28,SAGB Index,SA Govt Bond Index,42.9,-0.034463158,4.97,9.67
2005-09-29,SAGB Index,SA Govt Bond Index,42.8,0.008954556,4.97,9.68
2005-09-30,SAGB Index,SA Govt Bond Index,42.8,0.109683489,4.97,9.67
2005-10-03,SAGB Index,SA Govt Bond Index,42.6,-0.162332569,4.95,9.69
2005-10-04,SAGB Index,SA Govt Bond Index,42.6,0.008510562,4.95,9.69
2005-10-05,SAGB Index,SA Govt Bond Index,42.6,0.0129887,4.95,9.69
2005-10-06,SAGB Index,SA Govt Bond Index,42.7,0.168831169,4.95,9.68
2005-10-07,SAGB Index,SA Govt Bond Index,42.5,-0.153793197,4.94,9.7
2005-10-10,SAGB Index,SA Govt Bond Index,42.6,0.375224436,4.94,9.67
2005-10-11,SAGB Index,SA Govt Bond Index,42.6,0.054422743,4.94,9.67
2005-10-12,SAGB Index,SA Govt Bond Index,42.6,-0.008916908,4.94,9.67
2005-10-13,SAGB Index,SA Govt Bond Index,42.3,-0.391041255,4.92,9.71
2005-10-14,SAGB Index,SA Govt Bond Index,42.3,0.064907159,4.92,9.71
2005-10-17,SAGB Index,SA Govt Bond Index,42.3,0.140913748,4.91,9.7
2005-10-18,SAGB Index,SA Govt Bond Index,42.1,-0.081302266,4.91,9.71
2005-10-19,SAGB Index,SA Govt Bond Index,42.1,0.080027181,4.91,9.71
2005-10-20,SAGB Index,SA Govt Bond Index,42.1,-0.045565618,4.9,9.71
2005-10-21,SAGB Index,SA Govt Bond Index,42,-0.138099946,4.9,9.73
2005-10-24,SAGB Index,SA Govt Bond Index,41.9,-0.003580349,4.89,9.74
2005-10-25,SAGB Index,SA Govt Bond Index,42,0.194240804,4.89,9.72
2005-10-26,SAGB Index,SA Govt Bond Index,42.3,0.517269084,4.91,9.67
2005-10-27,SAGB Index,SA Govt Bond Index,42.3,0.079990755,4.91,9.67
2005-10-28,SAGB Index,SA Govt Bond Index,42.2,-0.074154331,4.9,9.68
2005-10-31,SAGB Index,SA Govt Bond Index,42.1,-0.006665512,4.89,9.68
2005-11-01,SAGB Index,SA Govt Bond Index,42.2,0.271082204,4.9,9.66
2005-11-02,SAGB Index,SA Govt Bond Index,42.2,0.147140946,4.9,9.65
2005-11-03,SAGB Index,SA Govt Bond Index,42.7,0.129222975,4.94,9.62
2005-11-04,SAGB Index,SA Govt Bond Index,42.5,-0.179441168,4.93,9.64
2005-11-07,SAGB Index,SA Govt Bond Index,42.3,-0.209871961,4.91,9.67
2005-11-08,SAGB Index,SA Govt Bond Index,42.4,0.235160487,4.92,9.65
2005-11-09,SAGB Index,SA Govt Bond Index,42.5,0.2217717,4.92,9.63
2005-11-10,SAGB Index,SA Govt Bond Index,42.4,-0.032684213,4.92,9.63
2005-11-11,SAGB Index,SA Govt Bond Index,42.5,0.126803189,4.92,9.62
2005-11-14,SAGB Index,SA Govt Bond Index,42.4,0.032653493,4.91,9.63
2005-11-15,SAGB Index,SA Govt Bond Index,42.4,0.055139925,4.91,9.62
2005-11-16,SAGB Index,SA Govt Bond Index,42.4,0.106692058,4.91,9.62
2005-11-17,SAGB Index,SA Govt Bond Index,42.5,0.208752626,4.92,9.6
2005-11-18,SAGB Index,SA Govt Bond Index,42.5,0.075592101,4.92,9.59
2005-11-21,SAGB Index,SA Govt Bond Index,42.6,0.275351434,4.92,9.57
2005-11-22,SAGB Index,SA Govt Bond Index,42.7,0.15459673,4.92,9.56
2005-11-23,SAGB Index,SA Govt Bond Index,43.1,0.673403637,4.94,9.5
2005-11-24,SAGB Index,SA Govt Bond Index,42.9,-0.138557702,4.93,9.51
2005-11-25,SAGB Index,SA Govt Bond Index,42.9,-0.001304858,4.93,9.52
2005-11-28,SAGB Index,SA Govt Bond Index,42.8,0.004784543,4.93,9.52
2005-11-29,SAGB Index,SA Govt Bond Index,42.9,0.199201447,4.93,9.51
2005-11-30,SAGB Index,SA Govt Bond Index,42.9,-0.008247387,4.93,9.51
2005-12-01,SAGB Index,SA Govt Bond Index,43.1,0.302573829,4.94,9.48
2005-12-02,SAGB Index,SA Govt Bond Index,43.3,0.311182672,4.95,9.45
2005-12-05,SAGB Index,SA Govt Bond Index,43.1,-0.103981049,4.94,9.47
2005-12-06,SAGB Index,SA Govt Bond Index,43.1,0.22804623,4.94,9.45
2005-12-07,SAGB Index,SA Govt Bond Index,43,-0.102128764,4.93,9.46
2005-12-08,SAGB Index,SA Govt Bond Index,43,0.043999086,4.93,9.46
2005-12-09,SAGB Index,SA Govt Bond Index,43,0.040530344,4.93,9.46
2005-12-12,SAGB Index,SA Govt Bond Index,43,0.259461511,4.93,9.44
2005-12-13,SAGB Index,SA Govt Bond Index,43,-0.068351527,4.92,9.45
2005-12-14,SAGB Index,SA Govt Bond Index,43.2,0.373824546,4.93,9.42
2005-12-15,SAGB Index,SA Govt Bond Index,43.3,-0.283288537,4.96,9.45
2005-12-19,SAGB Index,SA Govt Bond Index,43.3,0.176215244,4.95,9.44
2005-12-20,SAGB Index,SA Govt Bond Index,43.4,0.196070014,4.96,9.42
2005-12-21,SAGB Index,SA Govt Bond Index,43.3,-0.036396802,4.95,9.43
2005-12-22,SAGB Index,SA Govt Bond Index,43.3,-0.030841457,4.95,9.44
2005-12-23,SAGB Index,SA Govt Bond Index,43.5,0.419916026,4.96,9.4
2005-12-27,SAGB Index,SA Govt Bond Index,43.4,0.066990954,4.95,9.4
2005-12-28,SAGB Index,SA Govt Bond Index,43.6,0.26394676,4.96,9.38
2005-12-29,SAGB Index,SA Govt Bond Index,43.4,-0.153953454,4.95,9.4
2005-12-30,SAGB Index,SA Govt Bond Index,43.4,0.028964024,4.95,9.4
2006-01-03,SAGB Index,SA Govt Bond Index,43.3,0.155423646,4.94,9.39
2006-01-04,SAGB Index,SA Govt Bond Index,43.4,0.292933453,4.95,9.36
2006-01-05,SAGB Index,SA Govt Bond Index,43.4,0,4.94,9.37
2006-01-06,SAGB Index,SA Govt Bond Index,43.4,0.154729199,4.95,9.35
2006-01-09,SAGB Index,SA Govt Bond Index,43.4,0.128247996,4.94,9.35
2006-01-10,SAGB Index,SA Govt Bond Index,43.3,-0.0545307,4.93,9.36
2006-01-11,SAGB Index,SA Govt Bond Index,43.4,0.098970113,4.94,9.35
2006-01-12,SAGB Index,SA Govt Bond Index,43.3,-0.014366055,4.93,9.35
2006-01-13,SAGB Index,SA Govt Bond Index,43.3,0.09635092,4.93,9.35
2006-01-16,SAGB Index,SA Govt Bond Index,43.4,0.29679604,4.93,9.33
2006-01-17,SAGB Index,SA Govt Bond Index,43.1,-0.374632725,4.91,9.36
2006-01-18,SAGB Index,SA Govt Bond Index,42.9,-0.25477868,4.9,9.39
2006-01-19,SAGB Index,SA Govt Bond Index,42.9,0.193584186,4.91,9.37
2006-01-20,SAGB Index,SA Govt Bond Index,43,0.090052001,4.91,9.37
2006-01-23,SAGB Index,SA Govt Bond Index,42.8,-0.0832126,4.89,9.38
2006-01-24,SAGB Index,SA Govt Bond Index,42.6,-0.296348287,4.88,9.41
2006-01-25,SAGB Index,SA Govt Bond Index,42.6,-0.022048379,4.87,9.42
2006-01-26,SAGB Index,SA Govt Bond Index,42.5,-0.019084536,4.87,9.42
2006-01-27,SAGB Index,SA Govt Bond Index,42.6,0.149311975,4.88,9.41
2006-01-30,SAGB Index,SA Govt Bond Index,42.6,0.084286318,4.87,9.41
2006-01-31,SAGB Index,SA Govt Bond Index,42.8,0.359713752,4.88,9.38
2006-02-01,SAGB Index,SA Govt Bond Index,42.7,-0.059456291,4.88,9.39
2006-02-02,SAGB Index,SA Govt Bond Index,43.1,-0.061601296,4.91,9.36
2006-02-03,SAGB Index,SA Govt Bond Index,43.2,0.071771751,4.91,9.36
2006-02-06,SAGB Index,SA Govt Bond Index,43.1,0.132893447,4.9,9.35
2006-02-07,SAGB Index,SA Govt Bond Index,43.2,0.102381746,4.9,9.35
2006-02-08,SAGB Index,SA Govt Bond Index,43,-0.252535893,4.89,9.37
2006-02-09,SAGB Index,SA Govt Bond Index,43.1,0.23081142,4.89,9.35
2006-02-10,SAGB Index,SA Govt Bond Index,43.2,0.345209381,4.9,9.32
2006-02-13,SAGB Index,SA Govt Bond Index,43.1,-0.05034465,4.89,9.33
2006-02-14,SAGB Index,SA Govt Bond Index,43.3,0.249751308,4.9,9.31
2006-02-15,SAGB Index,SA Govt Bond Index,43.5,0.510819303,4.92,9.27
2006-02-16,SAGB Index,SA Govt Bond Index,43.6,0.09164681,4.92,9.26
2006-02-17,SAGB Index,SA Govt Bond Index,43.5,0.00332956,4.91,9.26
2006-02-20,SAGB Index,SA Govt Bond Index,43.5,0.224321623,4.91,9.25
2006-02-21,SAGB Index,SA Govt Bond Index,43.4,-0.124574883,4.9,9.26
2006-02-22,SAGB Index,SA Govt Bond Index,43.1,-0.327209081,4.88,9.3
2006-02-23,SAGB Index,SA Govt Bond Index,44.1,0.284901471,4.99,9.27
2006-02-24,SAGB Index,SA Govt Bond Index,43.9,-0.339829037,4.98,9.31
2006-02-27,SAGB Index,SA Govt Bond Index,43.6,-0.1218708,4.96,9.33
2006-02-28,SAGB Index,SA Govt Bond Index,43.5,-0.130377011,4.95,9.34
2006-03-02,SAGB Index,SA Govt Bond Index,43.5,0.113810388,4.95,9.33
2006-03-03,SAGB Index,SA Govt Bond Index,43.4,-0.128727022,4.94,9.35
2006-03-06,SAGB Index,SA Govt Bond Index,43.2,-0.143958349,4.93,9.37
2006-03-07,SAGB Index,SA Govt Bond Index,43.1,-0.138717762,4.92,9.39
2006-03-08,SAGB Index,SA Govt Bond Index,43,0.005455697,4.91,9.39
2006-03-09,SAGB Index,SA Govt Bond Index,43.1,0.127572427,4.91,9.38
2006-03-10,SAGB Index,SA Govt Bond Index,43.2,-0.24266555,4.95,9.4
2006-03-13,SAGB Index,SA Govt Bond Index,43.2,0.203343402,4.94,9.39
2006-03-14,SAGB Index,SA Govt Bond Index,43.1,0.020125364,4.94,9.39
2006-03-15,SAGB Index,SA Govt Bond Index,43.2,0.165581657,4.94,9.38
2006-03-16,SAGB Index,SA Govt Bond Index,43.2,0.094999751,4.94,9.37
2006-03-17,SAGB Index,SA Govt Bond Index,43.3,0.197345042,4.95,9.36
2006-03-20,SAGB Index,SA Govt Bond Index,43.2,-0.121845883,4.93,9.38
2006-03-22,SAGB Index,SA Govt Bond Index,43,-0.081886741,4.93,9.39
2006-03-23,SAGB Index,SA Govt Bond Index,42.9,-0.003763187,4.92,9.39
2006-03-24,SAGB Index,SA Govt Bond Index,42.9,-0.061049551,4.91,9.4
2006-03-27,SAGB Index,SA Govt Bond Index,42.8,0.209619924,4.91,9.39
2006-03-28,SAGB Index,SA Govt Bond Index,42.7,-0.132773852,4.91,9.4
2006-03-29,SAGB Index,SA Govt Bond Index,42.6,-0.274680485,4.9,9.43
2006-03-30,SAGB Index,SA Govt Bond Index,42.7,0.246929098,4.9,9.41
2006-03-31,SAGB Index,SA Govt Bond Index,42.5,-0.281031616,4.89,9.44
2006-04-03,SAGB Index,SA Govt Bond Index,42.3,-0.10610324,4.87,9.46
2006-04-04,SAGB Index,SA Govt Bond Index,42.4,0.293038436,4.88,9.43
2006-04-05,SAGB Index,SA Govt Bond Index,42.5,0.117207773,4.88,9.42
2006-04-06,SAGB Index,SA Govt Bond Index,42.5,0.056026626,4.88,9.42
2006-04-07,SAGB Index,SA Govt Bond Index,42.3,-0.170910882,4.87,9.44
2006-04-10,SAGB Index,SA Govt Bond Index,42.2,0.057346889,4.86,9.44
2006-04-11,SAGB Index,SA Govt Bond Index,42.2,0.064007629,4.86,9.44
2006-04-12,SAGB Index,SA Govt Bond Index,42.2,-0.006689327,4.86,9.44
2006-04-13,SAGB Index,SA Govt Bond Index,42.2,0.086967065,4.86,9.43
2006-04-18,SAGB Index,SA Govt Bond Index,42.2,0.292005555,4.85,9.42
